timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
229313654,229313483,0.065399945,-0.053586572,0.04416828,0.721635,0.0,0.0,0.0,-1.0
229413569,229413469,0.03246793,-0.03366399,0.030568909,0.7234716,0.0,0.0,0.0,-1.0
229517569,229517489,-0.04416316,-0.016643986,0.022381678,0.72236115,0.0,0.0,0.0,-1.0
229617570,229617470,0.019621782,-0.010989922,0.020611811,0.72326964,0.0,0.0,0.0,-1.0
229717543,229717470,0.019655282,-0.00066921685,0.025683684,0.7204094,0.0,0.0,0.0,-1.0
229821580,229821470,-0.058099315,-0.014971073,0.03183745,0.7175115,0.0,0.0,0.0,-1.0
229921549,229921476,-0.0030570538,-0.016651224,0.030556072,0.71476316,0.0,0.0,0.0,-1.0
230021582,230021469,0.15175413,-0.02353155,0.033067558,0.711361,0.0,0.0,0.0,-1.0
230125547,230125472,0.0032766908,-0.010706761,0.029831085,0.7094277,0.0,0.0,0.0,-1.0
230225543,230225470,0.11356811,-0.012806874,0.042139694,0.7086633,0.0,0.0,0.0,-1.0
230329556,230329476,-0.015486655,0.028777247,0.04028981,0.712646,0.0,0.0,0.0,-1.0
230433585,230433495,0.098938555,-0.052819468,0.0019555986,0.71509534,0.0,0.0,0.0,-1.0
230537563,230537472,-0.0145838875,-0.0057534445,0.00254542,0.72246796,0.0,0.0,0.0,-1.0
230637608,230637509,-0.031912845,-0.02072265,-0.0003483817,0.7269244,0.0,0.0,0.0,-1.0
230741604,230741473,-0.06732645,0.012896725,0.007862572,0.7304066,0.0,0.0,0.0,-1.0
230841544,230841469,0.04542102,-0.027385766,0.015727732,0.7357634,0.0,0.0,0.0,-1.0
230945569,230945476,0.07537742,-0.0057797995,0.012830343,0.73256385,0.0,0.0,0.0,-1.0
231045560,231045469,0.09288937,-0.059560705,0.0046477877,0.73309976,0.0,0.0,0.0,-1.0
231145619,231145470,0.0029396063,-0.028768871,0.032944113,0.7316526,0.0,0.0,0.0,-1.0
231249575,231249476,0.08945327,-0.033483133,0.026216242,0.7317312,0.0,0.0,0.0,-1.0
231349550,231349477,0.073215954,-0.042494155,-0.009287823,0.72770435,0.0,0.0,0.0,-1.0
231449550,231449470,0.028249964,0.0047477246,-0.009760059,0.7264478,0.0,0.0,0.0,-1.0
231553566,231553476,0.00039174495,-0.032284163,0.00871006,0.7254376,0.0,0.0,0.0,-1.0
231653560,231653470,-0.009204394,-0.051490325,0.016147751,0.72347003,0.0,0.0,0.0,-1.0
231757615,231757470,0.042576294,-0.04541306,0.024929376,0.7227813,0.0,0.0,0.0,-1.0
231857602,231857476,0.037391078,-0.04644929,0.030447967,0.7207984,0.0,0.0,0.0,-1.0
231957562,231957471,0.042329483,-0.06305104,0.023770045,0.7216378,0.0,0.0,0.0,-1.0
232061554,232061480,0.15145579,-0.036904667,0.017613672,0.72115576,0.0,0.0,0.0,-1.0
232161585,232161470,0.09789029,-0.073652215,0.010723228,0.72219163,0.0,0.0,0.0,-1.0
232261550,232261470,0.018847207,-0.084302604,0.0032707695,0.7210616,0.0,0.0,0.0,-1.0
232365551,232365476,0.01336141,-0.036921445,0.012518457,0.721265,0.0,0.0,0.0,-1.0
232465601,232465494,-0.025619797,-0.034626313,0.017518258,0.7190423,0.0,0.0,0.0,-1.0
232569559,232569478,-0.023049394,-0.09927799,0.028077865,0.71675855,0.0,0.0,0.0,-1.0
232673614,232673528,0.04411006,-0.06312401,0.034019616,0.7145326,0.0,0.0,0.0,-1.0
232773589,232773471,-0.0029779878,-0.043166615,0.04992636,0.7135517,0.0,0.0,0.0,-1.0
232873560,232873470,-0.007977017,-0.0046391333,0.052326623,0.7124797,0.0,0.0,0.0,-1.0
232977568,232977476,0.10053134,-0.11466301,0.058715224,0.71216846,0.0,0.0,0.0,-1.0
233281543,233281470,0.0649717,0.017906236,0.07118642,0.7220174,0.0,0.0,0.0,-1.0
233893587,233893482,0.085039906,-0.023886027,0.07280635,0.7577445,0.0,0.0,0.0,-1.0
233997559,233997478,0.04135311,-0.027192526,0.07129837,0.7562478,0.0,0.0,0.0,-1.0
234097558,234097469,0.115002654,-0.04723619,0.07509357,0.7552547,0.0,0.0,0.0,-1.0
234197549,234197476,0.075398915,-0.0060024173,0.065371156,0.7533285,0.0,0.0,0.0,-1.0
234301581,234301470,0.077939175,-0.00833219,0.067568205,0.7489997,0.0,0.0,0.0,-1.0
234401543,234401470,0.11537817,0.019256968,0.058553662,0.7453258,0.0,0.0,0.0,-1.0
234501578,234501484,-0.04071751,-0.054604914,0.06005374,0.7404359,0.0,0.0,0.0,-1.0
234605611,234605518,0.063578986,-0.05814624,0.059722565,0.7393889,0.0,0.0,0.0,-1.0
234705581,234705470,0.016526084,-0.07196248,0.06386517,0.7361978,0.0,0.0,0.0,-1.0
234809568,234809469,-0.034262422,-0.03308549,0.045077857,0.7318077,0.0,0.0,0.0,-1.0
234913576,234913476,0.053214673,0.0038658902,0.033191904,0.7255183,0.0,0.0,0.0,-1.0
235013561,235013470,0.028796243,0.0004131751,0.0402406,0.7266236,0.0,0.0,0.0,-1.0
235117567,235117469,-0.038241755,-0.041689258,0.032218695,0.72338825,0.0,0.0,0.0,-1.0
235217589,235217477,-0.07281178,-0.005276954,0.03880792,0.7218403,0.0,0.0,0.0,-1.0
235317584,235317470,-0.013783998,-0.03737864,0.040786125,0.71843606,0.0,0.0,0.0,-1.0
235421549,235421476,0.008089706,-0.061402522,0.048877593,0.71832186,0.0,0.0,0.0,-1.0
235521543,235521469,0.103910506,-0.04205994,0.038073942,0.7182843,0.0,0.0,0.0,-1.0
235621550,235621470,0.056343295,-0.0417551,0.035035186,0.71627045,0.0,0.0,0.0,-1.0
235725551,235725476,0.011556212,-0.036413345,0.035483077,0.7163037,0.0,0.0,0.0,-1.0
235825586,235825490,0.038593017,-0.067338265,0.028055698,0.720156,0.0,0.0,0.0,-1.0
235929603,235929485,0.06318158,0.0016942489,0.025379306,0.7205702,0.0,0.0,0.0,-1.0
236033579,236033484,0.052184142,-0.00963073,0.0070102997,0.7243925,0.0,0.0,0.0,-1.0
236137551,236137476,-0.045759086,-0.027640691,0.009868592,0.7234265,0.0,0.0,0.0,-1.0
236237570,236237471,0.017205207,-0.026289362,0.006348096,0.72595674,0.0,0.0,0.0,-1.0
236341569,236341479,-0.037409805,-0.0025079043,0.018882051,0.7282188,0.0,0.0,0.0,-1.0
236441602,236441475,-0.0017421098,-0.05925303,0.021917284,0.7193912,0.0,0.0,0.0,-1.0
236545586,236545469,-0.027071571,0.0006024608,0.03368011,0.7206402,0.0,0.0,0.0,-1.0
236649569,236649469,0.038553376,-0.059802968,0.038215905,0.7187298,0.0,0.0,0.0,-1.0
236749560,236749487,0.0061380086,-0.061445978,0.045628566,0.7187145,0.0,0.0,0.0,-1.0
236853625,236853517,0.034472324,0.00049098517,0.03940919,0.72106355,0.0,0.0,0.0,-1.0
236953560,236953470,-0.009131848,-0.013952197,0.025886104,0.7235221,0.0,0.0,0.0,-1.0
237053603,237053470,-0.032390684,-0.031429097,0.025478259,0.72564906,0.0,0.0,0.0,-1.0
237157561,237157470,0.10057028,-0.10225421,0.027949197,0.7276549,0.0,0.0,0.0,-1.0
237257547,237257474,0.017840696,-0.11090958,0.030491525,0.73474884,0.0,0.0,0.0,-1.0
237357617,237357482,-0.015533293,-0.073577784,0.017051084,0.73647213,0.0,0.0,0.0,-1.0
237461559,237461486,-0.0029113616,-0.091540076,0.027527347,0.7406634,0.0,0.0,0.0,-1.0
237561542,237561469,0.07532142,-0.11601093,-0.015055571,0.7403167,0.0,0.0,0.0,-1.0
237665633,237665513,0.016561173,-0.020365555,0.035655208,0.7385224,0.0,0.0,0.0,-1.0
237765556,237765470,0.004206732,-0.005456548,0.02755644,0.7376916,0.0,0.0,0.0,-1.0
237865562,237865472,-0.0043634716,-0.01749044,0.024447372,0.7338833,0.0,0.0,0.0,-1.0
237969603,237969493,0.013004333,-0.06864557,0.022323225,0.7282517,0.0,0.0,0.0,-1.0
238069569,238069470,-0.081913,-0.08095126,0.02511142,0.7224551,0.0,0.0,0.0,-1.0
238169550,238169469,0.037413426,-0.04993671,0.019129338,0.7229281,0.0,0.0,0.0,-1.0
238273567,238273477,0.040085614,-0.054760512,0.016566314,0.71977323,0.0,0.0,0.0,-1.0
238373552,238373479,0.09218128,-0.057150178,0.0019363947,0.71696734,0.0,0.0,0.0,-1.0
238477593,238477476,0.043405037,-0.07936899,-0.003430251,0.7175361,0.0,0.0,0.0,-1.0
238577598,238577470,0.05471036,-0.0007014816,-0.013381276,0.72261524,0.0,0.0,0.0,-1.0
238677591,238677498,0.042235427,-0.056973748,0.0007509999,0.7267031,0.0,0.0,0.0,-1.0
238781566,238781476,0.08191552,-0.059680942,-0.005430259,0.7297569,0.0,0.0,0.0,-1.0
238881546,238881469,-0.042295653,-0.026244711,-0.0055316202,0.7331867,0.0,0.0,0.0,-1.0
238981550,238981470,0.084926836,-0.06648873,-0.026623178,0.73127675,0.0,0.0,0.0,-1.0
239085590,239085476,0.13500044,-0.06659016,-0.035281844,0.7373617,0.0,0.0,0.0,-1.0
239185549,239185476,0.043729544,-0.03763197,-0.0070408974,0.73938537,0.0,0.0,0.0,-1.0
239289585,239289505,-0.011767107,-0.025410615,-0.011569473,0.7375,0.0,0.0,0.0,-1.0
239389561,239389488,0.1417635,-0.026971448,-0.0058439327,0.739356,0.0,0.0,0.0,-1.0
239489570,239489470,0.08155167,-0.048219703,-0.009722791,0.7354937,0.0,0.0,0.0,-1.0
239593560,239593469,0.063816264,-0.040351976,-0.03793654,0.73215497,0.0,0.0,0.0,-1.0
239693551,239693478,0.028664403,-0.07902099,0.009464657,0.72615075,0.0,0.0,0.0,-1.0
239793628,239793525,0.06405383,-0.12315904,0.033446528,0.72548926,0.0,0.0,0.0,-1.0
239897587,239897514,0.046887923,-0.048362173,0.027590133,0.72773796,0.0,0.0,0.0,-1.0
239997559,239997483,0.021146107,-0.026778087,0.0401105,0.7295753,0.0,0.0,0.0,-1.0
240101553,240101469,-0.026041875,-0.08906761,0.047852878,0.7327253,0.0,0.0,0.0,-1.0
240201543,240201470,0.043748524,-0.058678508,0.042428397,0.7343828,0.0,0.0,0.0,-1.0
240301549,240301475,0.066192515,-0.03141027,0.043811668,0.7358792,0.0,0.0,0.0,-1.0
240405591,240405480,0.020963576,-0.06293178,0.03732665,0.7363987,0.0,0.0,0.0,-1.0
240505589,240505476,-0.041895326,-0.048113633,0.04555744,0.7357683,0.0,0.0,0.0,-1.0
240605550,240605469,0.012151913,-0.040345445,0.04056877,0.7293807,0.0,0.0,0.0,-1.0
240709561,240709471,0.13068041,-0.08693138,0.046651214,0.7218895,0.0,0.0,0.0,-1.0
240809575,240809485,0.06366912,-0.04999299,0.06163246,0.71532017,0.0,0.0,0.0,-1.0
240913551,240913469,-0.028453058,-0.11886884,0.06961599,0.707505,0.0,0.0,0.0,-1.0
241013583,241013470,0.052510843,-0.11654017,0.07171601,0.70480895,0.0,0.0,0.0,-1.0
241113567,241113493,0.056171462,0.0019511164,0.07777171,0.7059422,0.0,0.0,0.0,-1.0
241217543,241217470,0.011220292,-0.028702836,0.084282316,0.7087059,0.0,0.0,0.0,-1.0
241321552,241321479,0.11832177,-0.0069686854,0.08649039,0.7158075,0.0,0.0,0.0,-1.0
241421568,241421495,-0.00051935104,-0.09242708,0.09028082,0.71762687,0.0,0.0,0.0,-1.0
241525569,241525479,0.08946015,-0.02804052,0.08473084,0.7229419,0.0,0.0,0.0,-1.0
241625544,241625470,-0.027817471,-0.048250467,0.07918439,0.72933036,0.0,0.0,0.0,-1.0
241725578,241725498,0.0644423,0.022697125,0.07711621,0.7363786,0.0,0.0,0.0,-1.0
241829543,241829470,0.0770947,0.0036844453,0.08798757,0.74088293,0.0,0.0,0.0,-1.0
241929543,241929470,-0.010802021,-0.10488245,0.08938403,0.74275875,0.0,0.0,0.0,-1.0
242033612,242033476,-0.05610231,0.0056855553,0.087569594,0.74332225,0.0,0.0,0.0,-1.0
242137563,242137470,-0.072448276,0.012299999,0.08578698,0.7386141,0.0,0.0,0.0,-1.0
242237572,242237482,0.023314504,-0.024400232,0.07882486,0.7352202,0.0,0.0,0.0,-1.0
242341569,242341471,-0.0025356158,0.032157857,0.0798794,0.73180395,0.0,0.0,0.0,-1.0
242441600,242441469,-0.0412028,0.02001475,0.05789991,0.728228,0.0,0.0,0.0,-1.0
242541561,242541470,0.016938241,0.012700052,0.051570613,0.72327757,0.0,0.0,0.0,-1.0
242645587,242645470,0.069936074,-0.040807746,0.04759591,0.7214465,0.0,0.0,0.0,-1.0
242745543,242745470,0.1000856,-0.08236446,0.054187182,0.7232613,0.0,0.0,0.0,-1.0
242845568,242845470,0.0436088,-0.07107284,0.052480396,0.7262368,0.0,0.0,0.0,-1.0
242949551,242949478,0.020015366,-0.031007111,0.06321883,0.7262054,0.0,0.0,0.0,-1.0
243049605,243049487,0.023041196,-0.0571759,0.060040727,0.72918344,0.0,0.0,0.0,-1.0
243153571,243153491,0.013637133,-0.019877465,0.082017615,0.73427916,0.0,0.0,0.0,-1.0
