timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
168769089,inf,0,0,0,0,0
169779237,inf,0,0,0,0,0
170784059,inf,0,0,0,0,0
172801133,inf,0,0,0,0,0
173811461,inf,0,0,0,0,0
174819144,inf,0,0,0,0,0
175828147,inf,0,0,0,0,0
176836059,inf,0,0,0,0,0
177847165,inf,0,0,0,0,0
178870528,inf,0,0,0,0,0
179876498,inf,0,0,0,0,0
180882585,inf,0,0,0,0,0
181889143,inf,0,0,0,0,0
182895222,inf,0,0,0,0,0
183907213,inf,0,0,0,0,0
185937060,inf,0,0,0,0,0
186945059,inf,0,0,0,0,0
187952104,inf,0,0,0,0,0
188961791,inf,0,0,0,0,0
189972127,inf,0,0,0,0,0
190984904,inf,0,0,0,0,0
191998059,inf,0,0,0,0,0
193006149,inf,0,0,0,0,0
194016060,inf,0,0,0,0,0
195029099,inf,0,0,0,0,0
196031198,inf,0,0,0,0,0
197047185,inf,0,0,0,0,0
199073063,inf,0,0,0,0,0
200081116,inf,0,0,0,0,0
201089089,inf,0,0,0,0,0
202099137,inf,0,0,0,0,0
203112800,inf,0,0,0,0,0
204121076,inf,0,0,0,0,0
205130661,inf,0,0,0,0,0
206140074,inf,0,0,0,0,0
207151386,inf,0,0,0,0,0
208156091,inf,0,0,0,0,0
209161118,inf,0,0,0,0,0
210177121,inf,0,0,0,0,0
211185110,inf,0,0,0,0,0
212203273,inf,0,0,0,0,0
213211495,inf,0,0,0,0,0
214222347,inf,0,0,0,0,0
215226478,inf,0,0,0,0,0
215462389,inf,0,0,0,0,1
215820730,inf,0,0,1,0,1
215945063,inf,0,0,0,0,1
216962328,inf,0,0,0,0,1
217256970,inf,0,0,0,0,0
217822057,inf,0,0,1,0,0
218094818,inf,0,0,0,1,0
218429147,inf,1,0,0,0,0
219434173,inf,1,0,0,0,0
