timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
31076676,-0.0017367793,-0.0018290794,0.001275578,3989,0,0.21598549,0.061836235,-9.652754,3989
31080717,-0.0027854226,-0.0010904286,0.0022571317,4041,0,0.21684466,0.049367666,-9.674241,4041
31084670,-0.0009738847,-0.0010126304,0.0023518365,3953,0,0.23229799,0.05213696,-9.664028,3953
31088670,0.00029521246,-0.0012068094,0.0023398562,4000,0,0.22686298,0.04327594,-9.676888,4000
31092669,-0.0012938142,-0.0033149014,0.001567938,3999,0,0.22969416,0.051644966,-9.667209,3999
31096676,-0.0030147803,-0.002890373,0.0010491413,4007,0,0.23983958,0.053319465,-9.656371,4007
31100750,-0.0026986187,-0.00072456803,0.00056288816,4074,0,0.23601481,0.061761796,-9.648137,4074
31104670,-0.0018544162,-0.0023511415,-0.0015184637,3920,0,0.2369598,0.05674191,-9.660967,3920
31108685,-0.0012035209,-0.0032136452,0.0012430979,4015,0,0.2544584,0.05096825,-9.680621,4015
31112670,-0.002906561,-0.0045934697,0.0010138102,3985,0,0.26363832,0.060730487,-9.668181,3985
31116676,-0.0022729132,-0.0026554663,0.00019768956,4006,0,0.25320372,0.058628667,-9.65966,4006
