timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
61136668,-0.19092451,-0.060926985,0.70781857
61144688,-0.19723585,-0.041657973,0.70105004
61154292,-0.19099352,-0.030946461,0.69690824
61164667,-0.21395347,-0.058655754,0.7008098
61174283,-0.18270919,-0.034961488,0.6852531
61184668,-0.18270919,-0.034961488,0.6852531
61193468,-0.17010087,-0.04369479,0.6965166
61204667,-0.1951354,-0.026814224,0.70277905
61213468,-0.15139753,-0.05399608,0.68034714
61224667,-0.21808153,-0.088577665,0.70886755
61233468,-0.21808153,-0.088577665,0.70886755
61242298,-0.17017426,-0.047709826,0.6849143
61252667,-0.18888088,-0.06290519,0.7005647
61262287,-0.19302112,-0.046024628,0.70669496
61272667,-0.19104706,-0.022271762,0.6884444
61282292,-0.19104706,-0.022271762,0.6884444
61292667,-0.17418867,-0.04398781,0.71093774
61301468,-0.18261868,-0.039503954,0.69956136
61312706,-0.1972557,-0.0543477,0.69791156
61321468,-0.19519167,-0.039386746,0.6938827
61340685,-0.18265784,-0.060633965,0.69337094
61350294,-0.18050605,-0.07146269,0.7032178
61360685,-0.15973541,-0.041306354,0.68353856
61370301,-0.18473734,-0.0542891,0.6949534
61380679,-0.18473734,-0.0542891,0.6949534
61389468,-0.16593966,-0.039386746,0.6936977
61400667,-0.1909946,-0.039445348,0.69673526
61409468,-0.1805938,-0.045673005,0.689342
61420667,-0.17210808,-0.041833784,0.70952827
61429472,-0.17210808,-0.041833784,0.70952827
61438268,-0.17636141,-0.0543477,0.6977794
61448675,-0.19718012,-0.0333349,0.70985985
61458285,-0.19730923,-0.045673005,0.6894477
61468667,-0.16604947,-0.043284565,0.67633754
61479094,-0.16604947,-0.043284565,0.67633754
61488667,-0.18469928,-0.041657973,0.7009707
61497477,-0.18887979,-0.054406308,0.70073766
61508692,-0.16181709,-0.051959265,0.68477494
61517483,-0.19309287,-0.037291326,0.6953522
61536704,-0.19718122,-0.041833784,0.7096869
61546292,-0.18681356,-0.022447573,0.6970548
61556667,-0.17217709,-0.011853265,0.69861794
61566286,-0.1889366,-0.07122827,0.6917549
61576668,-0.1889366,-0.07122827,0.6917549
61585471,-0.1888643,-0.07571213,0.7031841
61596668,-0.16183583,-0.056150105,0.68180954
61605506,-0.2014555,-0.07553632,0.6946266
61616667,-0.18676221,-0.04812005,0.70517266
61625474,-0.18676221,-0.04812005,0.70517266
61634269,-0.20139596,-0.037467137,0.7040419
61644667,-0.19298306,-0.033393506,0.7127124
61654273,-0.19102994,-0.030829255,0.69115037
61664674,-0.20148809,-0.045673005,0.68947417
61675075,-0.20148809,-0.045673005,0.68947417
61684670,-0.16810967,-0.028499417,0.68097186
61693527,-0.20765595,-0.0438706,0.7053913
61704712,-0.2097901,-0.03734993,0.69833684
61713514,-0.18048455,-0.046024628,0.7066157
61732715,-0.17847843,-0.05638452,0.693431
61742299,-0.20555934,-0.05877296,0.7065148
61752667,-0.19316845,-0.05830413,0.68340397
61762306,-0.1805938,-0.045673005,0.689342
61772673,-0.1805938,-0.045673005,0.689342
61781468,-0.18477266,-0.045673005,0.6893684
61792667,-0.18048401,-0.041775182,0.7067022
61801471,-0.1889173,-0.06278799,0.6948068
61812667,-0.16800041,-0.02885104,0.6982455
61821468,-0.16800041,-0.02885104,0.6982455
61830273,-0.19506475,-0.044046413,0.7139488
61840700,-0.20150685,-0.04986384,0.6865088
61850270,-0.18057615,-0.04998105,0.69213456
61860697,-0.18471639,-0.033100486,0.6982648
61871068,-0.18471639,-0.033100486,0.6982648
61879867,-0.15975471,-0.049746633,0.6804865
61889469,-0.2056653,-0.032924674,0.6897601
61899867,-0.18897083,-0.054113287,0.68634295
61909467,-0.17022888,-0.047534015,0.67627746
61919867,-0.19933358,-0.03525451,0.6997536
61928700,-0.17851049,-0.022271762,0.6883651
61939868,-0.19114247,-0.055974297,0.6733577
61948669,-0.19114138,-0.047475412,0.6735307
61959868,-0.18475062,-0.015985502,0.692853
61967891,-0.16603181,-0.047592618,0.67912996
61977467,-0.20150685,-0.04986384,0.6865088
61987867,-0.19097367,-0.018256733,0.7000467
61997468,-0.18694212,-0.030536234,0.67672914
62007867,-0.2161985,-0.06453178,0.6762222
62016667,-0.1764144,-0.04142356,0.68940204
62027868,-0.17862028,-0.026169583,0.67100495
62036668,-0.19948253,-0.060282346,0.67620295
62047867,-0.15340036,-0.018139524,0.6940509
62056677,-0.19327551,-0.04095473,0.6664763
62066286,-0.19327551,-0.04095473,0.6664763
62075869,-0.19933303,-0.031005066,0.69984007
62085468,-0.17436913,-0.030653443,0.6824078
62095867,-0.15579434,-0.04904339,0.6459128
62105468,-0.17840232,-0.031122273,0.7054658
62115868,-0.17840232,-0.031122273,0.7054658
62124714,-0.19535829,-0.060106535,0.6675397
62135867,-0.18265292,-0.022388969,0.69414943
62144677,-0.19519496,-0.0648834,0.6933637
62155867,-0.18269534,-0.069015644,0.68744004
62164678,-0.18269534,-0.069015644,0.68744004
62173503,-0.19311163,-0.041482165,0.6923868
62183917,-0.16194509,-0.055798486,0.6645359
62193468,-0.17648888,-0.053937476,0.67762685
62203891,-0.19316845,-0.05830413,0.68340397
62213468,-0.19316845,-0.05830413,0.68340397
62223867,-0.18680027,-0.060751174,0.6991553
