timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
65028952,65025243,80000.0,1.0,13.117621,25.534134,0.0,255,0,6,4,0,2,0,0,1,1,43
65371164,65368949,80000.0,1.0,13.117621,25.534134,0.0,1,240,18,4,0,2,0,0,1,1,43
65916189,0,1200.0,0.25786987,0.0,0.5083161,0.0,0,0,0,0,0,0,0,1,0,1,36
66025028,66023273,80000.0,1.0,13.098678,25.561857,0.0,255,0,6,4,0,2,0,0,1,1,43
66368286,66363480,80000.0,1.0,13.098678,25.561857,0.0,1,240,18,4,0,2,0,0,1,1,43
66923874,0,1200.0,0.25786987,0.0,0.29886016,0.0,0,0,0,0,0,0,0,1,0,1,36
67026681,67023157,80000.0,1.0,13.16346,25.552832,0.0,255,0,6,4,0,2,0,0,1,1,43
67365962,67365158,80000.0,1.0,13.16346,25.552832,0.0,1,240,18,4,0,2,0,0,1,1,43
67934604,0,1200.0,0.25786987,0.0,0.34295726,0.0,0,0,0,0,0,0,0,1,0,1,36
68027617,68023269,80000.0,1.0,13.105229,25.542536,0.0,255,0,6,4,0,2,0,0,1,1,43
68364766,68364343,80000.0,1.0,13.105229,25.542536,0.0,1,240,18,4,0,2,0,0,1,1,43
68936958,0,1200.0,0.25786987,0.0,0.7103525,0.0,0,0,0,0,0,0,0,1,0,1,36
69029869,69025778,80000.0,1.0,13.102807,25.958164,0.0,255,0,6,4,0,2,0,0,1,1,43
69371413,69364244,80000.0,1.0,13.102807,25.958164,0.0,1,240,18,4,0,2,0,0,1,1,43
69944195,0,1200.0,0.25786987,0.0,0.37055284,0.0,0,0,0,0,0,0,0,1,0,1,36
70029044,70027323,80000.0,1.0,13.123926,25.331469,0.0,255,0,6,4,0,2,0,0,1,1,43
70364788,70363331,80000.0,1.0,13.123926,25.331469,0.0,1,240,18,4,0,2,0,0,1,1,43
70953213,0,1200.0,0.25786987,0.0,0.5590937,0.0,0,0,0,0,0,0,0,1,0,1,36
71024550,71023198,80000.0,1.0,13.099974,25.604359,0.0,255,0,6,4,0,2,0,0,1,1,43
71370511,71368060,80000.0,1.0,13.099974,25.604359,0.0,1,240,18,4,0,2,0,0,1,1,43
71958059,0,1200.0,0.25786987,0.0,0.3756761,0.0,0,0,0,0,0,0,0,1,0,1,36
72026966,72024569,80000.0,1.0,13.09266,25.550112,0.0,255,0,6,4,0,2,0,0,1,1,43
72370329,72369494,80000.0,1.0,13.09266,25.550112,0.0,1,240,18,4,0,2,0,0,1,1,43
72970023,0,1200.0,0.25786987,0.0,0.56004167,0.0,0,0,0,0,0,0,0,1,0,1,36
73026491,73025122,80000.0,1.0,13.0997505,25.575657,0.0,255,0,6,4,0,2,0,0,1,1,43
74369532,74365028,80000.0,1.0,13.084787,25.483158,0.0,1,240,18,4,0,2,0,0,1,1,43
74977659,0,1200.0,0.25786987,0.0,0.4659383,0.0,0,0,0,0,0,0,0,1,0,1,36
75027958,75026039,80000.0,1.0,13.232788,25.57209,0.0,255,0,6,4,0,2,0,0,1,1,43
75368229,75367428,80000.0,1.0,13.232788,25.57209,0.0,1,240,18,4,0,2,0,0,1,1,43
75982415,0,1200.0,0.25786987,0.0,0.42843962,0.0,0,0,0,0,0,0,0,1,0,1,36
76024752,76022694,80000.0,1.0,13.098106,25.342878,0.0,255,0,6,4,0,2,0,0,1,1,43
76365739,76363906,80000.0,1.0,13.098106,25.342878,0.0,1,240,18,4,0,2,0,0,1,1,43
76984155,0,1200.0,0.25786987,0.0,0.5423728,0.0,0,0,0,0,0,0,0,1,0,1,36
77026061,77023193,80000.0,1.0,13.107571,25.57921,0.0,255,0,6,4,0,2,0,0,1,1,43
77368290,77364258,80000.0,1.0,13.107571,25.57921,0.0,1,240,18,4,0,2,0,0,1,1,43
77984929,0,1200.0,0.25786987,0.0,0.30076328,0.0,0,0,0,0,0,0,0,1,0,1,36
78026745,78026212,80000.0,1.0,13.080811,25.718576,0.0,255,0,6,4,0,2,0,0,1,1,43
78370433,78369573,80000.0,1.0,13.080811,25.718576,0.0,1,240,18,4,0,2,0,0,1,1,43
78993255,0,1200.0,0.25786987,0.0,0.63583696,0.0,0,0,0,0,0,0,0,1,0,1,36
79025852,79025242,80000.0,1.0,13.168618,25.537148,0.0,255,0,6,4,0,2,0,0,1,1,43
79366491,79364603,80000.0,1.0,13.168618,25.537148,0.0,1,240,18,4,0,2,0,0,1,1,43
79999763,0,1200.0,0.25786987,0.0,0.32682952,0.0,0,0,0,0,0,0,0,1,0,1,36
80028845,80026212,80000.0,1.0,13.081459,25.53809,0.0,255,0,6,4,0,2,0,0,1,1,43
80365852,80364220,80000.0,1.0,13.081459,25.53809,0.0,1,240,18,4,0,2,0,0,1,1,43
81006617,0,1200.0,0.25786987,0.0,0.5760099,0.0,0,0,0,0,0,0,0,1,0,1,36
81031472,81025137,80000.0,1.0,13.077256,25.565393,0.0,255,0,6,4,0,2,0,0,1,1,43
81368198,81368064,80000.0,1.0,13.077256,25.565393,0.0,1,240,18,4,0,2,0,0,1,1,43
82013821,0,1200.0,0.25786987,0.0,0.5029511,0.0,0,0,0,0,0,0,0,1,0,1,36
82028214,82023188,80000.0,1.0,13.164337,25.862936,0.0,255,0,6,4,0,2,0,0,1,1,43
82374414,82368048,80000.0,1.0,13.164337,25.862936,0.0,1,240,18,4,0,2,0,0,1,1,43
83018002,0,1200.0,0.25786987,0.0,0.36606786,0.0,0,0,0,0,0,0,0,1,0,1,36
83027463,83023411,80000.0,1.0,13.118561,25.533577,0.0,255,0,6,4,0,2,0,0,1,1,43
83371557,83370634,80000.0,1.0,13.118561,25.533577,0.0,1,240,18,4,0,2,0,0,1,1,43
