timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
135109487,32767,32767,32767,32767,32767,32767,32767
135113470,32767,32767,32767,32767,32767,-64,-201
135117525,32767,32767,32767,32767,32767,32767,32767
135121470,32767,32767,32767,32767,32767,-39,-181
135125491,32767,32767,32767,32767,32767,32767,32767
135129486,32767,32767,32767,32767,-72,-32,32767
135133470,32767,32767,32767,32767,32767,32767,-201
135137485,32767,32767,32767,32767,-54,32767,32767
135141470,32767,32767,32767,32767,32767,-40,32767
135145479,32767,32767,32767,32767,32767,32767,-221
135149477,32767,32767,32767,32767,-63,32767,32767
135153470,32767,32767,32767,32767,32767,-72,-201
135157482,32767,32767,32767,32767,32767,32767,32767
135161476,32767,32767,32767,32767,32767,-56,32767
135165476,32767,32767,32767,32767,32767,32767,-221
135169470,32767,32767,32767,32767,-54,-40,32767
135173470,32767,32767,32767,32767,32767,32767,-200
135177469,32767,32767,32767,32767,32767,32767,32767
135181470,32767,32767,32767,32767,-68,-64,32767
135185485,32767,32767,32767,32767,32767,32767,-221
135189502,32767,32767,32767,32767,-45,-41,32767
135193490,32767,32767,32767,32767,32767,32767,-192
135197469,32767,32767,32767,32767,32767,32767,32767
135201470,32767,32767,32767,32767,32767,-64,32767
135205520,32767,32767,32767,32767,32767,32767,-222
135209470,32767,32767,32767,32767,32767,-39,32767
135213518,32767,32767,32767,32767,-62,32767,-202
135217470,32767,32767,32767,32767,32767,32767,32767
135221470,32767,32767,32767,32767,32767,-72,32767
135225488,32767,32767,32767,32767,-71,32767,-221
135233485,32767,32767,32767,32767,-44,32767,32767
135237469,32767,32767,32767,32767,32767,32767,-241
135241470,32767,32767,32767,32767,32767,-72,32767
135245476,32767,32767,32767,32767,32767,32767,-221
135249470,32767,32767,32767,32767,32767,-40,32767
135253470,32767,32767,32767,32767,32767,32767,-201
135257470,32767,32767,32767,32767,-63,32767,32767
135261470,32767,32767,32767,32767,32767,-72,32767
135265479,32767,32767,32767,32767,32767,32767,-221
135269470,32767,32767,32767,32767,-62,-64,32767
135273481,32767,32767,32767,32767,32767,32767,-200
135277487,32767,32767,32767,32767,32767,-40,32767
135281470,32767,32767,32767,32767,-72,32767,32767
135285469,32767,32767,32767,32767,32767,32767,-219
135289469,32767,32767,32767,32767,32767,-64,32767
135293477,32767,32767,32767,32767,32767,32767,32767
135297478,32767,32767,32767,32767,32767,-40,-239
135301470,32767,32767,32767,32767,-54,32767,32767
135305496,32767,32767,32767,32767,32767,32767,-219
135309470,32767,32767,32767,32767,32767,-64,32767
135313481,32767,32767,32767,32767,-64,32767,32767
135317478,32767,32767,32767,32767,32767,-40,-240
135321470,32767,32767,32767,32767,32767,32767,32767
135325470,32767,32767,32767,32767,-68,32767,-220
135329471,32767,32767,32767,32767,32767,-71,32767
135333488,32767,32767,32767,32767,32767,32767,32767
135337470,32767,32767,32767,32767,32767,-40,-239
135341483,32767,32767,32767,32767,32767,32767,32767
135345469,32767,32767,32767,32767,-54,32767,32767
135349470,32767,32767,32767,32767,32767,-71,-260
135353478,32767,32767,32767,32767,32767,32767,32767
135357477,32767,32767,32767,32767,-59,-40,-240
135361489,32767,32767,32767,32767,32767,32767,32767
135365470,32767,32767,32767,32767,32767,-32,-220
135369470,32767,32767,32767,32767,-61,32767,32767
135373485,32767,32767,32767,32767,32767,32767,-200
135377470,32767,32767,32767,32767,32767,-64,32767
135381505,32767,32767,32767,32767,32767,32767,32767
135385470,32767,32767,32767,32767,32767,-40,-220
135389470,32767,32767,32767,32767,-53,32767,32767
135393520,32767,32767,32767,32767,32767,32767,32767
135397476,32767,32767,32767,32767,32767,-64,-240
135401515,32767,32767,32767,32767,-64,32767,32767
135405469,32767,32767,32767,32767,32767,-39,-211
135409470,32767,32767,32767,32767,-44,32767,32767
135413478,32767,32767,32767,32767,32767,32767,32767
135417469,32767,32767,32767,32767,32767,-56,-232
135421479,32767,32767,32767,32767,32767,32767,32767
135425470,32767,32767,32767,32767,32767,-40,-212
135429470,32767,32767,32767,32767,32767,32767,32767
135433470,32767,32767,32767,32767,-66,-32,-193
135437470,32767,32767,32767,32767,32767,32767,32767
135441501,32767,32767,32767,32767,-55,32767,32767
135445477,32767,32767,32767,32767,32767,-40,-221
135449478,32767,32767,32767,32767,32767,32767,32767
135453505,32767,32767,32767,32767,-59,32767,-202
135457470,32767,32767,32767,32767,32767,-72,32767
135461487,32767,32767,32767,32767,32767,32767,32767
135465477,32767,32767,32767,32767,32767,32767,-221
135469476,32767,32767,32767,32767,32767,32767,32767
135473470,32767,32767,32767,32767,-53,-40,-201
135477471,32767,32767,32767,32767,32767,32767,32767
135481470,32767,32767,32767,32767,32767,32767,32767
135485489,32767,32767,32767,32767,-63,-64,-221
135489476,32767,32767,32767,32767,32767,32767,32767
135493469,32767,32767,32767,32767,-43,-40,-200
135497470,32767,32767,32767,32767,32767,32767,32767
135501478,32767,32767,32767,32767,32767,32767,32767
135505470,32767,32767,32767,32767,32767,-63,-220
135509477,32767,32767,32767,32767,32767,32767,32767
135513470,32767,32767,32767,32767,32767,-40,-201
135517470,32767,32767,32767,32767,-54,32767,32767
135521470,32767,32767,32767,32767,32767,32767,32767
135525470,32767,32767,32767,32767,32767,-71,-221
135529508,32767,32767,32767,32767,-64,32767,32767
135533469,32767,32767,32767,32767,32767,-40,-201
135537470,32767,32767,32767,32767,-43,32767,32767
135541486,32767,32767,32767,32767,32767,32767,32767
135545470,32767,32767,32767,32767,32767,-72,-220
135549522,32767,32767,32767,32767,32767,32767,32767
135553469,32767,32767,32767,32767,32767,-39,-201
135557475,32767,32767,32767,32767,32767,32767,32767
135561479,32767,32767,32767,32767,-70,32767,32767
135565470,32767,32767,32767,32767,32767,-72,-221
135569530,32767,32767,32767,32767,-45,32767,32767
135573470,32767,32767,32767,32767,32767,-64,-202
135577476,32767,32767,32767,32767,32767,32767,32767
135581486,32767,32767,32767,32767,-63,-40,32767
135585469,32767,32767,32767,32767,32767,32767,-221
135589470,32767,32767,32767,32767,32767,32767,32767
135593470,32767,32767,32767,32767,32767,-64,-202
135597476,32767,32767,32767,32767,32767,32767,32767
135601495,32767,32767,32767,32767,-53,-40,32767
135605469,32767,32767,32767,32767,32767,32767,-222
135609475,32767,32767,32767,32767,32767,32767,32767
135613487,32767,32767,32767,32767,-58,-56,-202
135617476,32767,32767,32767,32767,32767,32767,32767
135621470,32767,32767,32767,32767,32767,-40,32767
135625470,32767,32767,32767,32767,-71,32767,-221
135629473,32767,32767,32767,32767,32767,32767,32767
135633523,32767,32767,32767,32767,32767,-73,32767
135637476,32767,32767,32767,32767,32767,32767,-241
135641470,32767,32767,32767,32767,32767,-40,32767
135645470,32767,32767,32767,32767,-54,32767,-212
135649511,32767,32767,32767,32767,32767,32767,32767
135653470,32767,32767,32767,32767,32767,-72,-201
135657476,32767,32767,32767,32767,-64,32767,32767
135661470,32767,32767,32767,32767,32767,-40,32767
135665478,32767,32767,32767,32767,32767,32767,-220
135669498,32767,32767,32767,32767,-68,-40,32767
135673470,32767,32767,32767,32767,32767,32767,32767
135677470,32767,32767,32767,32767,32767,32767,-241
135681470,32767,32767,32767,32767,32767,-64,32767
135685476,32767,32767,32767,32767,32767,32767,-221
135689516,32767,32767,32767,32767,-55,-41,32767
135693469,32767,32767,32767,32767,32767,32767,32767
135697503,32767,32767,32767,32767,32767,32767,-241
135701470,32767,32767,32767,32767,-62,-64,32767
135705476,32767,32767,32767,32767,32767,32767,-222
