timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
54584199,5.0901856,0.0,0,0,1,0,0,0,0
55084176,5.0869627,0.0,0,0,1,0,0,0,0
55594163,5.0805173,0.0,0,0,1,0,0,0,0
56094163,5.0853515,0.0,0,0,1,0,0,0,0
56594164,5.088574,0.0,0,0,1,0,0,0,0
57094163,5.0966306,0.0,0,0,1,0,0,0,0
57594178,5.0950193,0.0,0,0,1,0,0,0,0
58094163,5.088574,0.0,0,0,1,0,0,0,0
58594210,5.0901856,0.0,0,0,1,0,0,0,0
59094178,5.0869627,0.0,0,0,1,0,0,0,0
59594163,5.088574,0.0,0,0,1,0,0,0,0
60094176,5.093408,0.0,0,0,1,0,0,0,0
60594163,5.091797,0.0,0,0,1,0,0,0,0
61094164,5.093408,0.0,0,0,1,0,0,0,0
61604173,5.0901856,0.0,0,0,1,0,0,0,0
62104176,5.0901856,0.0,0,0,1,0,0,0,0
62604164,5.088574,0.0,0,0,1,0,0,0,0
63104178,5.0869627,0.0,0,0,1,0,0,0,0
63604199,5.0853515,0.0,0,0,1,0,0,0,0
64104206,5.093408,0.0,0,0,1,0,0,0,0
64614166,5.088574,0.0,0,0,1,0,0,0,0
65114163,5.0660157,0.0,0,0,1,0,0,0,0
65614163,5.077295,0.0,0,0,1,0,0,0,0
66114164,5.0611815,0.0,0,0,1,0,0,0,0
66614171,5.054736,0.0,0,0,1,0,0,0,0
67114163,5.0450683,0.0,0,0,1,0,0,0,0
67624191,5.028955,0.0,0,0,1,0,0,0,0
68124208,5.0273438,0.0,0,0,1,0,0,0,0
68624212,5.0482907,0.0,0,0,1,0,0,0,0
69124215,5.024121,0.0,0,0,1,0,0,0,0
69624212,5.0208983,0.0,0,0,1,0,0,0,0
70124205,4.995117,0.0,0,0,1,0,0,0,0
70624199,5.016064,0.0,0,0,1,0,0,0,0
71124177,5.014453,0.0,0,0,1,0,0,0,0
71634163,5.016064,0.0,0,0,1,0,0,0,0
72134163,5.019287,0.0,0,0,1,0,0,0,0
72634175,5.0208983,0.0,0,0,1,0,0,0,0
73134173,5.0273438,0.0,0,0,1,0,0,0,0
73644212,5.0273438,0.0,0,0,1,0,0,0,0
74144210,5.0273438,0.0,0,0,1,0,0,0,0
74644167,5.017676,0.0,0,0,1,0,0,0,0
75144205,5.0208983,0.0,0,0,1,0,0,0,0
75644198,5.0208983,0.0,0,0,1,0,0,0,0
76144180,5.019287,0.0,0,0,1,0,0,0,0
76644167,5.017676,0.0,0,0,1,0,0,0,0
77154164,5.0015626,0.0,0,0,1,0,0,0,0
77654164,4.993506,0.0,0,0,1,0,0,0,0
78154187,5.003174,0.0,0,0,1,0,0,0,0
78654163,5.009619,0.0,0,0,1,0,0,0,0
79154163,5.0128417,0.0,0,0,1,0,0,0,0
79654163,5.0015626,0.0,0,0,1,0,0,0,0
80154165,5.0080075,0.0,0,0,1,0,0,0,0
80664200,5.0063963,0.0,0,0,1,0,0,0,0
81664205,4.993506,0.0,0,0,1,0,0,0,0
82164202,4.9967284,0.0,0,0,1,0,0,0,0
82664184,4.9838376,0.0,0,0,1,0,0,0,0
83174163,4.9709473,0.0,0,0,1,0,0,0,0
83674167,4.990283,0.0,0,0,1,0,0,0,0
84174163,4.9838376,0.0,0,0,1,0,0,0,0
84674163,4.9677243,0.0,0,0,1,0,0,0,0
85174168,4.9773927,0.0,0,0,1,0,0,0,0
85674163,4.9918942,0.0,0,0,1,0,0,0,0
86174175,4.988672,0.0,0,0,1,0,0,0,0
86674164,4.980615,0.0,0,0,1,0,0,0,0
87174163,4.9854493,0.0,0,0,1,0,0,0,0
87674192,4.9773927,0.0,0,0,1,0,0,0,0
88184192,4.9677243,0.0,0,0,1,0,0,0,0
88684199,4.9773927,0.0,0,0,1,0,0,0,0
89184189,4.9983397,0.0,0,0,1,0,0,0,0
89684198,4.9773927,0.0,0,0,1,0,0,0,0
90184191,4.988672,0.0,0,0,1,0,0,0,0
90684200,4.990283,0.0,0,0,1,0,0,0,0
91184176,4.979004,0.0,0,0,1,0,0,0,0
91694163,4.9725585,0.0,0,0,1,0,0,0,0
92194210,4.993506,0.0,0,0,1,0,0,0,0
92694164,5.0015626,0.0,0,0,1,0,0,0,0
93204179,5.0015626,0.0,0,0,1,0,0,0,0
93704207,5.0015626,0.0,0,0,1,0,0,0,0
94204172,4.990283,0.0,0,0,1,0,0,0,0
94704199,4.9918942,0.0,0,0,1,0,0,0,0
95204167,4.975781,0.0,0,0,1,0,0,0,0
95704202,4.999951,0.0,0,0,1,0,0,0,0
96204209,5.0063963,0.0,0,0,1,0,0,0,0
96704201,4.975781,0.0,0,0,1,0,0,0,0
97204200,5.0015626,0.0,0,0,1,0,0,0,0
97704230,4.9967284,0.0,0,0,1,0,0,0,0
98214165,4.9983397,0.0,0,0,1,0,0,0,0
98714163,4.975781,0.0,0,0,1,0,0,0,0
99214174,4.990283,0.0,0,0,1,0,0,0,0
99714163,4.9741697,0.0,0,0,1,0,0,0,0
100214173,4.9838376,0.0,0,0,1,0,0,0,0
100714163,4.990283,0.0,0,0,1,0,0,0,0
101224211,4.993506,0.0,0,0,1,0,0,0,0
101724165,4.975781,0.0,0,0,1,0,0,0,0
102224162,4.9677243,0.0,0,0,1,0,0,0,0
102724245,4.975781,0.0,0,0,1,0,0,0,0
103224200,4.9709473,0.0,0,0,1,0,0,0,0
103724179,4.975781,0.0,0,0,1,0,0,0,0
104224198,5.017676,0.0,0,0,1,0,0,0,0
104724219,4.993506,0.0,0,0,1,0,0,0,0
105224198,4.9677243,0.0,0,0,1,0,0,0,0
105724194,4.9870605,0.0,0,0,1,0,0,0,0
106224195,4.9773927,0.0,0,0,1,0,0,0,0
106734162,4.9918942,0.0,0,0,1,0,0,0,0
108234163,4.9596677,0.0,0,0,1,0,0,0,0
108744198,4.9709473,0.0,0,0,1,0,0,0,0
109244211,4.9838376,0.0,0,0,1,0,0,0,0
109744174,4.993506,0.0,0,0,1,0,0,0,0
110244175,4.988672,0.0,0,0,1,0,0,0,0
110754163,4.9838376,0.0,0,0,1,0,0,0,0
111254175,4.975781,0.0,0,0,1,0,0,0,0
111754187,4.9838376,0.0,0,0,1,0,0,0,0
112254163,4.980615,0.0,0,0,1,0,0,0,0
112754163,4.966113,0.0,0,0,1,0,0,0,0
113264198,4.975781,0.0,0,0,1,0,0,0,0
113764205,4.9741697,0.0,0,0,1,0,0,0,0
114264179,4.980615,0.0,0,0,1,0,0,0,0
114764208,4.9677243,0.0,0,0,1,0,0,0,0
115264198,4.980615,0.0,0,0,1,0,0,0,0
115764198,5.0080075,0.0,0,0,1,0,0,0,0
116274192,4.975781,0.0,0,0,1,0,0,0,0
116774163,4.975781,0.0,0,0,1,0,0,0,0
117274163,4.9838376,0.0,0,0,1,0,0,0,0
117774180,4.988672,0.0,0,0,1,0,0,0,0
118274163,4.9854493,0.0,0,0,1,0,0,0,0
118784205,4.988672,0.0,0,0,1,0,0,0,0
119284206,4.980615,0.0,0,0,1,0,0,0,0
119784189,4.9870605,0.0,0,0,1,0,0,0,0
120284198,4.9773927,0.0,0,0,1,0,0,0,0
120784202,4.9967284,0.0,0,0,1,0,0,0,0
121284175,4.980615,0.0,0,0,1,0,0,0,0
121784205,4.9967284,0.0,0,0,1,0,0,0,0
122284201,4.9870605,0.0,0,0,1,0,0,0,0
122794164,4.9822264,0.0,0,0,1,0,0,0,0
123294176,4.979004,0.0,0,0,1,0,0,0,0
123794163,4.988672,0.0,0,0,1,0,0,0,0
124294163,4.9838376,0.0,0,0,1,0,0,0,0
124794186,4.9709473,0.0,0,0,1,0,0,0,0
125294163,4.980615,0.0,0,0,1,0,0,0,0
125794168,4.9854493,0.0,0,0,1,0,0,0,0
126294175,4.9838376,0.0,0,0,1,0,0,0,0
126794163,4.975781,0.0,0,0,1,0,0,0,0
127294188,4.9822264,0.0,0,0,1,0,0,0,0
127794163,4.979004,0.0,0,0,1,0,0,0,0
128304195,4.9773927,0.0,0,0,1,0,0,0,0
128804170,4.993506,0.0,0,0,1,0,0,0,0
129304201,4.993506,0.0,0,0,1,0,0,0,0
129804212,4.9822264,0.0,0,0,1,0,0,0,0
130304211,4.9967284,0.0,0,0,1,0,0,0,0
130804161,4.9870605,0.0,0,0,1,0,0,0,0
