timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
185647270,0,0.0,0.0,0.039308447,0.5423043,-0.57213384,0.26472634,0.68447477,-0.254872,-0.0108084595,-0.06702709,0.026771834,0.021334656,-0.0020145755,-0.0010988325,0.0014978752,1.5180337,-3.211795,-2.16998,-3.1156766,0.0,0.6357884,-0.026771834,0.005257911,0.0036224327,0.026069814,0.017418504,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
185751298,0,0.0,0.0,0.03909433,0.53548443,-0.57285535,0.26472634,0.68447477,-0.254872,-0.012058852,-0.06207579,0.012839249,0.006332691,-0.0020145755,-0.0010988325,0.0014978752,-0.40774328,0.57508814,1.2597622,-3.1065605,0.0,0.6365099,-0.012839249,0.005315125,0.0036599578,0.026205076,0.0174998,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
185847270,0,0.0,0.0,0.03907855,0.5284881,-0.57528764,0.26472634,0.68447477,-0.254872,0.0077427267,-0.07961538,-0.015827402,-0.023064934,-0.0020145755,-0.0010988325,0.0014978752,2.1400588,1.5992235,-2.312754,-3.097371,0.0,0.6389422,0.015827402,0.005257552,0.0036214392,0.026112951,0.017438797,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
185951269,0,0.0,0.0,0.039543938,0.52077603,-0.5803516,0.26472634,0.68447477,-0.254872,0.0074073873,-0.07593148,-0.040325463,-0.04818912,-0.0020145755,-0.0010988325,0.0014978752,-0.22374253,-0.61273533,-0.5238161,-3.0876224,0.0,0.64400613,0.040325463,0.005334811,0.0036718305,0.026289076,0.017546568,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186055276,0,0.0,0.0,0.04066508,0.512635,-0.5882181,0.26472634,0.68447477,-0.254872,0.008829798,-0.08496727,-0.059769038,-0.06825436,-0.0020145755,-0.0010988325,0.0014978752,1.0989485,-0.13215618,0.56791323,-3.0778487,0.0,0.65187263,0.059769038,0.0054214685,0.0037277332,0.026542708,0.017687473,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186151269,0,0.0,0.0,0.04170513,0.50378716,-0.59706396,0.26472634,0.68447477,-0.254872,-0.005463661,-0.09800561,-0.06905921,-0.07811268,-0.0020145755,-0.0010988325,0.0014978752,0.45816293,-1.0478272,-1.0566866,-3.0706658,0.0,0.6607185,0.06905921,0.0053425846,0.0036761041,0.026332669,0.017556727,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186255284,0,0.0,0.0,0.041865747,0.492978,-0.60627115,0.26472634,0.68447477,-0.254872,-0.0029234816,-0.11157251,-0.06337187,-0.072684355,-0.0020145755,-0.0010988325,0.0014978752,2.056843,-2.0381353,0.88880473,-3.0641372,0.0,0.6699257,0.06337187,0.005394408,0.0037098236,0.026446689,0.017629795,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186359269,0,0.0,0.0,0.041158646,0.48078442,-0.6146252,0.26472634,0.68447477,-0.254872,-0.005612488,-0.11414976,-0.060142603,-0.0688454,-0.0020145755,-0.0010988325,0.0014978752,4.1525455,-0.65549463,0.88667357,-3.0599597,0.0,0.67827976,0.060142603,0.005095159,0.00351468,0.025647076,0.017163372,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186455269,0,0.0,0.0,0.039127763,0.46913266,-0.6201268,0.26472634,0.68447477,-0.254872,-0.026430765,-0.1212128,-0.049568977,-0.056809828,-0.0020145755,-0.0010988325,0.0014978752,-2.8093069,-3.2939103,-0.8175073,-3.059745,0.0,0.6837813,0.049568977,0.00538963,0.0037076962,0.02642164,0.017638648,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
186559284,0,0.0,0.0,0.035502486,0.45554763,-0.62323236,0.26472634,0.68447477,-0.254872,-0.036241405,-0.12524907,-0.036355115,-0.041179013,-0.0020145755,-0.0010988325,0.0014978752,-3.4691107,0.8210836,-2.2551684,-3.0621288,0.0,0.6868869,0.036355115,0.00547899,0.0037668848,0.026632769,0.01778127,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
