timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
27111289,0.04690081,0.018228214,-0.0047536595,4019,0,-0.23891719,0.07717517,-9.827334,4019
27115270,-0.049105823,0.017639799,0.007916672,3981,0,0.4588258,-0.81429607,-9.698919,3981
27119270,-0.030367976,-0.024480749,0.017751526,4000,0,0.0032646372,1.0715115,-9.838398,4000
27123282,0.05200371,0.01707713,0.009734923,4012,0,-0.23923652,-0.49901986,-9.592434,4012
27127320,-0.06173973,0.009934764,0.0152715845,4038,0,0.2991398,-0.34518483,-9.840016,4038
27131289,-0.038501877,-0.0168119,0.027938982,3969,0,0.033569217,0.8240782,-9.937451,3969
27135270,0.07062145,0.008252757,0.024065318,3981,0,0.030914992,0.18428896,-9.608503,3981
27138489,0.00023013969,0.014694412,0.024601934,3219,0,0.14396477,-1.6267775,-9.668253,3219
27142470,-0.10919529,-0.015067714,0.035117846,3981,0,0.012114722,0.60234654,-10.013507,3981
27146469,0.08168035,0.011698927,0.033194724,3999,0,0.060446568,0.6647038,-9.742891,3999
27150476,0.03606925,0.008593601,0.031192428,4007,0,-0.04740916,-1.4203657,-9.553383,4007
27154469,-0.07024531,0.0047856127,0.026833573,3993,0,0.4184836,0.26588294,-9.863742,3993
27158474,0.036065277,-0.019890342,0.019921452,4005,0,-0.20926614,0.15741077,-9.845051,4005
27162470,0.050353013,0.025881564,0.009807048,3996,0,-0.0105518075,-0.3795666,-9.519958,3996
27166483,0.004704073,0.0009649719,0.010416654,4013,0,0.46753597,-0.42346305,-9.990608,4013
27170490,-0.001426093,-0.025433699,0.012975264,4007,0,-0.56879896,-0.10239296,-9.633736,4007
27174470,0.031039126,0.046763632,-0.003447546,3980,0,0.47369167,-0.1526547,-9.688073,3980
27178486,0.030273234,-0.042929154,0.006529862,4016,0,0.32142192,-0.24628998,-9.850041,4016
27182472,0.0091514615,-0.00045778687,0.0059407153,3986,0,-0.74635583,-0.34834504,-9.6293125,3986
27186470,-0.009744077,0.05459333,-0.004298218,3998,0,0.85276675,-0.38382107,-9.917124,3998
27190486,0.0069171907,-0.07115535,0.010063143,4016,0,-0.03362907,0.21749642,-9.768143,4016
27194470,0.03959272,0.03452149,-6.0811464e-05,3984,0,-0.33424884,-0.20035706,-9.712114,3984
27198478,-0.02715603,0.0029711688,0.003864422,4008,0,0.4941419,-0.7465004,-9.7326565,4008
27202470,-0.035309006,-0.021665463,0.007651149,3992,0,0.082392626,0.56683534,-9.809223,3992
27206470,0.03029597,0.000437674,0.0027486053,4000,0,-0.06831927,-0.36175987,-9.701723,4000
27210481,-0.031207928,0.0059640724,0.004490296,4011,0,-0.07035278,-0.17484629,-9.746851,4011
27214470,-0.039319713,0.009107354,0.0033974238,3989,0,0.7001463,-0.10803506,-9.747064,3989
27218476,-0.02298816,-0.044465814,0.01379798,4006,0,-0.7424518,0.37484658,-9.809435,4006
27222470,0.0118584465,0.076262854,-0.0017280342,3994,0,0.6276529,-0.43854412,-9.66078,3994
27225713,-0.068726845,-0.058187503,0.006994273,3243,0,0.3718063,-0.15274368,-9.751285,3243
27230482,-0.015736936,0.008245978,0.006005896,4769,0,-0.5747605,0.44821888,-9.762872,4769
27234470,-0.0059065707,0.019822529,0.0050758263,3988,0,0.7699665,-0.38559148,-9.703095,3988
27238476,-0.024926482,-0.044504423,0.009038319,4006,0,-0.31872302,0.29296285,-9.8646965,4006
27242471,-0.0073228315,0.035896216,-0.0007460448,3995,0,0.19278388,-0.3119931,-9.761237,3995
27246474,-0.025553137,-0.02060006,0.005739439,4003,0,0.041230936,0.24115184,-9.858073,4003
27250470,0.016938183,0.009135862,0.00126344,3996,0,0.14197174,0.10476464,-9.725018,3996
27254473,0.0031816207,-0.010649925,0.0026349057,4003,0,-0.002015408,-0.2737995,-9.760944,4003
27257708,-0.0119928,-0.0005463,0.00054909807,3235,0,-0.0053390944,0.20732081,-9.762309,3235
27262470,0.023094539,-0.0006131669,-0.0035761867,4762,0,0.28350222,0.08344926,-9.756646,4762
27266489,0.010109064,-0.01817642,-0.004378582,4019,0,-0.23203526,-0.22174402,-9.748538,4019
27270470,0.0041403007,0.017934686,-0.006205186,3981,0,0.1938474,0.06307618,-9.773947,3981
27274498,0.021517135,-0.019169474,-0.0070295865,4028,0,0.040445562,0.0551972,-9.765482,4028
27278476,0.022693755,0.005202839,-0.004618452,3978,0,-0.062403966,-0.21224417,-9.636612,3978
27282470,0.0032260881,0.0001005475,-0.0038048504,3994,0,0.29616505,-0.080984116,-9.698392,3994
27286473,0.019092705,-0.014547691,-0.00429516,4003,0,-0.13862005,-0.07816514,-9.724561,4003
27290471,0.008689308,0.013772012,-0.0046172086,3998,0,0.04425923,-0.15680699,-9.793921,3998
27294514,0.007138895,-0.008875622,-0.005107874,4043,0,0.1589269,-0.139708,-9.786487,4043
27298476,0.004807946,-0.0032590462,-1.07289725e-05,3962,0,-0.18657899,-0.013299266,-9.806333,3962
27302470,0.011900372,0.014929239,-0.0011609371,3994,0,0.21328513,-0.23244831,-9.722203,3994
27306491,-0.010227565,-0.01651779,0.00033438814,4021,0,0.16461135,-0.20133872,-9.709997,4021
27310469,-0.0038183888,0.00072806445,0.00048605056,3978,0,-0.08225611,-0.05547856,-9.830345,3978
27314470,-0.0046614967,0.00080080767,-0.00044741947,4001,0,0.1734856,-0.1260221,-9.772986,4001
27318470,-0.0048683155,-0.0051183794,0.0014489377,4000,0,0.029467806,-0.25506538,-9.795667,4000
27322470,-0.028477855,0.00019563614,-0.0016254091,4000,0,0.1709627,-0.18714868,-9.740534,4000
27326481,-0.009913367,-0.0049321125,-0.00012576143,4011,0,-0.10933022,-0.049102,-9.693832,4011
27330471,-0.008650526,0.0135049,-0.001591639,3990,0,0.3294835,-0.29261553,-9.7296295,3990
27334500,-0.025252968,-0.022744454,0.0011528125,4029,0,-0.15120146,-0.064113446,-9.796206,4029
27338480,-0.0061608553,0.025711553,-0.0019308722,3980,0,-0.014016784,-0.2079175,-9.750335,3980
27342470,-0.02592079,-0.0039928732,-0.0034473224,3990,0,0.4865057,-0.102103665,-9.727527,3990
27346504,-0.0047888807,-0.023730064,0.00015746013,4034,0,-0.44536802,0.029708661,-9.654709,4034
27350470,-0.008926896,0.04259292,-0.008907051,3966,0,0.23482876,-0.4164141,-9.822182,3966
27353713,-0.026710229,-0.022794798,-0.0022444555,3243,0,0.38439366,0.14851037,-9.891193,3243
27361724,-0.016728465,0.032014634,-0.009235031,3233,0,0.3789103,-0.18931787,-9.835209,3233
27366476,0.0015016693,-0.022282219,-0.002517298,4752,0,0.18123975,0.15515243,-9.764051,4752
27370470,-0.0008443665,0.007571321,-0.0056118164,3994,0,-0.17826825,-0.30377483,-9.739652,3994
27374470,-0.0002849016,0.003904659,-0.0051147137,4000,0,0.15054579,0.23679067,-9.798103,4000
27378470,0.027476458,-0.0014013741,-0.0024132663,4000,0,0.20843373,-0.119750634,-9.783268,4000
27382470,-0.0010595872,-0.018164482,-0.004251161,4000,0,0.005972274,-0.22661757,-9.645115,4000
27386476,0.0019978497,0.007685779,-0.0056398613,4006,0,-0.0037761552,0.06802069,-9.691931,4006
27390469,0.015769277,0.0018728264,-0.0020522245,3993,0,0.2452166,0.116937414,-9.922922,3993
27394470,0.02291227,-0.008322909,-0.0042722565,4001,0,-0.02747987,-0.35382324,-9.722689,4001
27398470,-0.011053468,0.0017313062,-0.0068976674,4000,0,0.10577878,-0.009304762,-9.670549,4000
27402469,0.014099436,-0.0029299401,-0.0060735755,3999,0,0.21144208,0.08047787,-9.698088,3999
27406470,0.0062292395,-0.0053321933,-0.0046681683,4001,0,-0.042679604,-0.29152477,-9.759813,4001
27410469,-0.009695167,0.010500883,-0.002864746,3999,0,0.047807314,0.031897053,-9.829745,3999
27414518,0.00057554926,0.0027907284,-0.00085388386,4049,0,0.29781204,-0.044721946,-9.770729,4049
27418470,-0.0039632213,-0.008090799,0.0026674175,3952,0,-0.15835656,-0.16121915,-9.803711,3952
27422470,-0.014338079,0.020328524,0.0010090038,4000,0,0.16829658,0.017036919,-9.837197,4000
27426470,-0.0018017199,-0.006030858,0.0007451047,4000,0,0.19466266,-0.044417605,-9.79254,4000
27430470,-0.01723297,-0.002920727,0.0039550923,4000,0,-0.026968842,-0.183599,-9.760766,4000
27434518,-0.017305205,0.00597911,0.003779433,4048,0,0.0429853,0.1194077,-9.808574,4048
27438470,-0.006279297,-0.0002806568,0.0046025263,3952,0,0.2906325,-0.13740107,-9.750255,3952
27442516,-0.015204518,-0.017119465,0.0045704395,4046,0,-0.07338593,0.09011523,-9.634171,4046
27446470,-0.0019632117,0.011519306,-0.00353517,3954,0,0.2545491,-0.3152318,-9.672239,3954
27450470,-0.03242672,-0.017914167,0.002289888,4000,0,0.03045947,0.021246288,-9.804935,4000
27454517,0.012280937,0.0053050737,-0.003150598,4047,0,0.11561528,0.15514614,-9.745567,4047
27458470,0.0025066554,-0.008246918,-0.006391541,3953,0,0.21477349,-0.4110892,-9.702683,3953
27462471,-0.018678721,-0.012918449,-0.006596629,4001,0,-0.13145529,0.0915563,-9.753311,4001
27466470,0.0067576184,0.01229632,-0.012630565,3999,0,0.12001676,-0.25912234,-9.721691,3999
27470470,-0.007289883,-0.010680578,-0.010654983,4000,0,0.079830624,0.0069137053,-9.91242,4000
27474526,0.010889808,0.00045026906,-0.017269459,4056,0,-0.12417676,-0.28518948,-9.833479,4056
27478469,-0.009436218,0.006032054,-0.016828036,3943,0,0.0900036,-0.012518005,-9.800946,3943
27482470,0.016909558,-0.0034146633,-0.016148493,4001,0,0.14130187,-0.02326458,-9.697803,4001
