timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
115100235,-0.033378366,-0.01914178,3.0012016,0.0,0.070284225,0.008375407,-0.017317723,0.9973415,0.0,0.0,-0.74418885,1,0,0,0,0,0
115200260,-0.01939985,-0.01596178,3.0012016,0.0,0.07020956,0.007280476,-0.010235307,0.99745315,0.0,0.0,-0.74343824,1,0,0,0,0,0
115320522,-0.027284497,-0.02101368,3.0012016,0.0,0.07027046,0.009523041,-0.0143443225,0.99737936,0.0,0.0,-0.74138385,1,0,0,0,0,0
115420545,-0.026026225,-0.020724125,3.0012016,0.0,0.070262685,0.009422847,-0.013706701,0.99738985,0.0,0.0,-0.73999417,1,0,0,0,0,0
115520484,-0.019268343,-0.029122576,3.0012016,0.0,0.070267126,0.013848602,-0.010630491,0.9973754,0.0,0.0,-0.736682,1,0,0,0,0,0
115620734,-0.018198816,-0.028453281,3.0012016,0.0,0.07025701,0.013552398,-0.0100737065,0.997386,0.0,0.0,-0.7402475,1,0,0,0,0,0
115720935,-0.009156624,-0.02101654,3.0012016,0.0,0.070181265,0.010160994,-0.0053037754,0.9974684,0.0,0.0,-0.7457832,1,0,0,0,0,0
115821040,-0.00952389,-0.024024095,3.0012016,0.0,0.07018909,0.011648075,-0.005592328,0.99745,0.0,0.0,-0.7478478,1,0,0,0,0,0
115921272,-0.013469595,-0.022127299,3.0012016,0.0,0.07020632,0.010563595,-0.007493697,0.9974484,0.0,0.0,-0.7501664,1,0,0,0,0,0
116021211,-0.009301449,-0.025855798,3.0012016,0.0,0.070191234,0.012569399,-0.005545567,0.9974389,0.0,0.0,-0.74723583,1,0,0,0,0,0
116121356,-0.010935002,-0.02462218,3.0012016,0.0,0.070198655,0.011896829,-0.006317034,0.9974421,0.0,0.0,-0.7468651,1,0,0,0,0,0
116221397,-0.0048717298,-0.023022454,3.0012016,0.0,0.070161,0.0113117555,-0.0032370554,0.9974663,0.0,0.0,-0.7418189,1,0,0,0,0,0
116321391,-0.0054687117,-0.02392968,3.0012016,0.0,0.07016524,0.011743277,-0.0035665887,0.9974599,0.0,0.0,-0.7397188,1,0,0,0,0,0
116421565,-0.0064121815,-0.02232054,3.0012016,0.0,0.07016885,0.010907642,-0.0039807274,0.9974676,0.0,0.0,-0.7378406,1,0,0,0,0,0
117142777,0.024786765,-0.031188995,3.0012016,0.0,0.06993119,0.016423386,0.011267404,0.99735296,0.0,0.0,-0.73734665,1,0,0,0,0,0
117443836,0.026413916,-0.021868793,3.0012016,0.0,0.06998353,0.011832524,0.012406429,0.9974008,0.0,0.0,-0.77084994,1,0,0,0,0,0
117542836,0.03318851,-0.025034416,3.0012016,0.0,0.069915555,0.013648079,0.015673546,0.9973364,0.0,0.0,-0.7745072,1,0,0,0,0,0
117662873,0.03390757,-0.027617183,3.0012016,0.0,0.0698876,0.0149611,0.015941275,0.9973153,0.0,0.0,-0.77917504,1,0,0,0,0,0
117762959,0.02540627,-0.027483199,3.0012016,0.0,0.06995147,0.014597084,0.011706614,0.9973749,0.0,0.0,-0.7873751,1,0,0,0,0,0
117862874,0.03061429,-0.028869947,3.0012016,0.0,0.069901966,0.015470694,0.014254976,0.99733204,0.0,0.0,-0.7829163,1,0,0,0,0,0
117964156,0.023007039,-0.02082286,3.0012016,0.0,0.07000997,0.011191687,0.010744142,0.9974256,0.0,0.0,-0.78522366,1,0,0,0,0,0
118063000,0.02038865,-0.028092397,3.0012016,0.0,0.06998449,0.014725344,0.009182953,0.99739707,0.0,0.0,-0.77493614,1,0,0,0,0,0
118164168,0.020346874,-0.02413019,3.0012016,0.0,0.07000671,0.012747946,0.009301314,0.9974217,0.0,0.0,-0.77209705,1,0,0,0,0,0
118263417,0.014131238,-0.017918589,3.0012016,0.0,0.07007018,0.00943243,0.006419515,0.9974768,0.0,0.0,-0.7640152,1,0,0,0,0,0
118364157,0.008224158,-0.020745812,3.0012016,0.0,0.07009097,0.010635483,0.0033742052,0.99747825,0.0,0.0,-0.7568483,1,0,0,0,0,0
118463556,0.0026595423,-0.015385794,3.0012016,0.0,0.07012555,0.007767134,0.000786899,0.99750763,0.0,0.0,-0.75386286,1,0,0,0,0,0
118563697,0.0064460067,-0.015557825,3.0012016,0.0,0.07011039,0.007985684,0.0026693752,0.9975037,0.0,0.0,-0.74303,1,0,0,0,0,0
118663632,-0.0065799747,-0.003859415,3.0012016,0.0,0.07014371,0.0016941916,-0.0034172176,0.9975296,0.0,0.0,-0.74528736,1,0,0,0,0,0
118763758,-0.0038911582,-0.002124298,3.0012016,0.0,0.07013978,0.0009230722,-0.002015282,0.99753475,0.0,0.0,-0.73313326,1,0,0,0,0,0
118864007,-0.00631213,0.00010380923,3.0012016,0.0,0.07013736,-0.00027313584,-0.0031446465,0.99753237,0.0,0.0,-0.7378283,1,0,0,0,0,0
118963993,-0.0027988944,-7.231053e-05,3.0012016,0.0,0.070137866,-6.208804e-05,-0.0013985363,0.9975363,0.0,0.0,-0.73069274,1,0,0,0,0,0
119064141,-0.0065770643,0.015927661,3.0012016,0.0,0.070109166,-0.008174733,-0.0027217665,0.99750215,0.0,0.0,-0.73021936,1,0,0,0,0,0
119164373,-0.009222113,0.017540473,3.0012016,0.0,0.07009411,-0.009071828,-0.0039843954,0.9974912,0.0,0.0,-0.73005086,1,0,0,0,0,0
119284346,-0.0014965233,0.024324428,3.0012016,0.0,0.07012359,-0.012184436,0.00010664688,0.99746394,0.0,0.0,-0.73217267,1,0,0,0,0,0
119384448,-0.0015894689,0.023414178,3.0012016,0.0,0.07012377,-0.011733724,2.8368544e-05,0.99746925,0.0,0.0,-0.7310785,1,0,0,0,0,0
119484492,-0.0012036022,0.030660285,3.0012016,0.0,0.070120424,-0.0153339915,0.0004749329,0.99742055,0.0,0.0,-0.73543,1,0,0,0,0,0
119584540,-0.003354405,0.032315537,3.0012016,0.0,0.0701016,-0.01623487,-0.0005396321,0.9974076,0.0,0.0,-0.737703,1,0,0,0,0,0
119684613,0.0032393485,0.03988227,3.0012016,0.0,0.07015606,-0.019777104,0.0030138982,0.9973354,0.0,0.0,-0.73641986,1,0,0,0,0,0
119784807,-0.00133186,0.03895981,3.0012016,0.0,0.07011162,-0.019477395,0.00070202857,0.9973488,0.0,0.0,-0.73495495,1,0,0,0,0,0
119885188,0.0027820873,0.039781105,3.0012016,0.0,0.070151545,-0.019742696,0.0027823306,0.9973371,0.0,0.0,-0.7301593,1,0,0,0,0,0
119985356,-0.0033919727,0.040893193,3.0012016,0.0,0.070088536,-0.020513719,-0.00025747615,0.9973298,0.0,0.0,-0.7277777,1,0,0,0,0,0
